"Senior Software Engineer, Full Stack (Heavy Frontend)",Connect Staffing and Consulting,https://www.indeed.com/rc/clk?jk=8d05ae068204542d&bb=2gfWf2AG5rHdi1vsjQgDyws-Nn6IHOPbN8DFvtmLollH5KQemmhfeEtDXO91H2zXdNszmweBZHwD8ydOXe-_sIYZ3SbQBeYV_qkf77gFmncMVBnoAobtGtBGOqjFoedMDBtIxdeDzjinMtTYH1JITA%3D%3D&xkcb=SoCv67M3pmp3oLy4RZ0LbzkdCdPP&fccid=ce38e9d1b643f4c6&vjs=3
Java Developer,FLEX / Computer Marketing Corporation,https://www.indeed.com/rc/clk?jk=0d83c4782973dccb&bb=2gfWf2AG5rHdi1vsjQgDy-63JrCw8xUxpfPaPv24JPO-EHbu39SVw-d_eJxbAoxFjH-tOGxP6mZzMytmzpsfst-oeDWI85ltYjvLrQRahe1k7mT-6JVVr7rhRMAYOFZJZC5SpWkTtbxLGi3Iazd5qQ%3D%3D&xkcb=SoAb67M3pmp3oLy4RZ0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Full-Stack Engineer,Cube Dev,https://www.indeed.com/rc/clk?jk=cd1cc262c33b16c8&bb=2gfWf2AG5rHdi1vsjQgDyzrhytxu27CVjEXHXvUwZk4ijuig09-v-DEVc8HqHTOBYnLZZ1m1chgyedDgHQetycz_rlVG7aSMzMfQ0tbO1TFCyVAE8EP01vsp5a-NpiAk2nrDwpi_1Wtufb_3gLsr8g%3D%3D&xkcb=SoCG67M3pmp3oLy4RZ0JbzkdCdPP&fccid=ad14446c70585b2e&vjs=3
React Full Stack Developer,Robots and Pencils,https://www.indeed.com/rc/clk?jk=660c904e10fae3cb&bb=2gfWf2AG5rHdi1vsjQgDy3qufY6MewehzIFnGJ52DIaarVP6qk1Tl4zaQLoUinSyO9Qg7F6QVHS0Uyt8qwLdIe_T8YnVWaEhkzko9u8Whhw5laQ0E-ckmJVH3863Flvna3aKtGm1xzxcdT2YN_ukAQ%3D%3D&xkcb=SoAy67M3pmp3oLy4RZ0IbzkdCdPP&fccid=e99a2d7b8ff392c5&vjs=3
IT Founder: Skilled Full Stack Developer - Partner,Higher Solutions,https://www.indeed.com/rc/clk?jk=cac4d1b89217df9c&bb=2gfWf2AG5rHdi1vsjQgDy4vZfhclLY27NW6_wGugLwr0bibDhUd19d4Cqh92B31IqGX6C-KtoU72m-7wPAgov9DfFmeLq5MHsTrVspC9KJciLBLuKoyezL0aE-RkVVDrFjFN30AkSSnqBPW8sk5LKA%3D%3D&xkcb=SoC867M3pmp3oLy4RZ0PbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Higher-Solutions&ti=Full+Stack+Developer&vjs=3
"Senior Software Engineer, Back End - Capital One Software (Remote)",Capital One,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNUFMD4PZ3AunGrII_Xzx8fHIP3KyBvoQwDI2koWc9yrkffVTN_HoAKEKB2TdwehnRf1T5schmkrm5MMpsluytEMFUdS75B00_RcgmkQf4c6WaHShn3TIgJzdqMfVCOxEfOtM428r7TJ_cx52jtrCzI-kFbklLMxb3Rb3Obz4zXTGKvtMpFCIqRo8_XN8R-CTKwPKWj1kHe5DXDT9_Qn9glxiUv8jA9TP6GsAh9JUAGk5o7Of2FRs2SImSqxhqlxywG8WsWgH4e5AdMC4BxX0g9odiOr-n2Q4dN0c-9WpNcaqBNIKRm_p2TwitvHqcaWDZdGJn_ViO1NkBVhSGEIa5nH6s154NgG-ijJBFj-Ay06UzByKV3WL8LZFZTFYuddwCzAHOr57m6MFt602jyMZN44mbgi4ly93IKd2KhrFaUrrZww41pc5A52RG1aLNzWN1kN56wfEAGKNmbqAfYnVaRshSiWVZbS85GbS2cKkfeAXflBNcQ4ODal5WmegjojTSI36VC6Yv1H7ZXlQwsA0ySt2-rSVp0rZWbBplfNqLiZ68EsM7_WgQrr4pJO3xCpi6Dc-Iji_Xk-ieITLHC5I_V87inHMKaIynASQ5SigThI7daT8tkHAcssESXiN2dhxSVKXVRUZvRkWBGKrNteMsiUOkAcQClA0HV4L97QAxW8JqP7xGN2AuCeX7s-vbdC_nh_vdc20kz3ZSJSTBovY5pZ1vCuaRklqEuIf0fW3gTe6j342TRKkHMAXNx6bMuwZaWO5lGTLH9g-QNZ8PMtKFeQ=&xkcb=SoD86_M3pmp3oLy4RZ0ObzkdCdPP&camk=4HOcmqOLYrAY9i7xfdbs4A==&p=5&fvj=0&vjs=3
Senior Java Developer,"Forta Solutions, LLC",https://www.indeed.com/rc/clk?jk=2418e315447e79b9&bb=2gfWf2AG5rHdi1vsjQgDy7BXJ1vUK8TwhMvlZq6AN526rL9dQQLLx9SR7Bl1K_gPNSPv6K6iQgDeDOGabuWhN9eof6sE7qtyC0SK-9WepDpvxrGndw6-3rv7bn_WY6Oy_-vttjmbmH9qVHKMa37H7Q%3D%3D&xkcb=SoCV67M3pmp3oLy4RZ0NbzkdCdPP&fccid=c7d02f9610281229&vjs=3
Code Corsair (Backend Engineer),"Huntridge Labs, LLC",https://www.indeed.com/rc/clk?jk=730973c2fe62e551&bb=2gfWf2AG5rHdi1vsjQgDy5UXYlgO7OgwZT1MJXjFwxAoQAlS5ygrfHfxK_ujiXzk7w8YQNW8b8XS3Pgiqe4taFHC0VJY2Htx7MNPJOusq-ike21HsdqiwA6JH3hhSZ0kZXFbFnRSccFdqPehE2X0wA%3D%3D&xkcb=SoAh67M3pmp3oLy4RZ0MbzkdCdPP&fccid=ed4f00b651f3939a&vjs=3
Senior Full Stack Engineer - AI/ML Productization,PlanHub,https://www.indeed.com/rc/clk?jk=c8cf6d7145c81b0a&bb=2gfWf2AG5rHdi1vsjQgDy6xTtfzGNOPz0BP-fSbTAKAj4_8eDe85wmt2Gv9TaYOz2rCKLlmWWKGQZNMpqBfHZmfeXLFg6anOoaTu6-9L7GQpqHX-E4f1ima-uzvskSe3o2A4iB5E5rb1w9UzKV8saw%3D%3D&xkcb=SoDI67M3pmp3oLy4RZ0DbzkdCdPP&fccid=3166388e381b5828&vjs=3
Java Full Stack Developer,Innovate Tech IT LLC,https://www.indeed.com/rc/clk?jk=8d4b8c566677e5e0&bb=2gfWf2AG5rHdi1vsjQgDy7kBQzHDtKBMMea5e1lAtTH4sRAZdtllIMzjX3nIh7bMm6r2itMbb50kZuK6F-DhhaWwC41jimSyIQHeL6zAO-IPDWXEJREYcs8_DdqXDCgy-mD8ZmYJHN0BNUMepQ5VKA%3D%3D&xkcb=SoB867M3pmp3oLy4RZ0CbzkdCdPP&fccid=bca8997ce6027112&cmp=Innovate-Tech-IT-LLC&ti=Full+Stack+Developer&vjs=3
Java Software Developer,"Alakaʻi Services and Poe'hana Group, Inc.",https://www.indeed.com/rc/clk?jk=fbeeaae75fb56771&bb=dcl-xnWELk1pGiS4st0-KX2Fyz3gRhlD7YAs0LLVimFcTPfYidx83WPHJFh-2-pnbs4Crye5N0conKL7L-n7KD35s_yQHTQOyYsnwALBYpEPdDFL1vmL6S7Hxzx6cRa7u7ALKK6T8wDw6scvCudfhg%3D%3D&xkcb=SoD567M3pmp2hqy4RZ0LbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Senior Full-Stack Engineer,Boltive,https://www.indeed.com/rc/clk?jk=92ea3da9677efa91&bb=dcl-xnWELk1pGiS4st0-KWCk_mmoeCVU7lfnvHBmZylWMU7h7M5W0c8ZmdOGHw5j51mISYxeYCxlSER9qgyj1iyRai8v4pf8VafhN9-k13gdiu5F_TjtRuUofzGBwcNWxkwAkWMy5stGDysYQ8xouA%3D%3D&xkcb=SoBN67M3pmp2hqy4RZ0KbzkdCdPP&fccid=606c61e5ac5eeddc&vjs=3
Junior or Senior Full Stack Software Engineer,"Knowmadics, Inc",https://www.indeed.com/rc/clk?jk=d57395f691339fba&bb=dcl-xnWELk1pGiS4st0-KeAz88jiGT8cpKGGovuvf7gwZL1sHTHO1O9SE_Fo7u1haXhxFSCjcXf32A3oU4ga9CE3mANXx2WB1MqTLvCBWcd8-Sf4Mjc0Yw-EGfgJTfKtBZwrux38oHON2gYGqF1XWw%3D%3D&xkcb=SoDQ67M3pmp2hqy4RZ0JbzkdCdPP&fccid=fdf17f5bc49c6b90&vjs=3
